,season_year,season_type,gamekey,game_date,week,playid,game_clock,yardline,quarter,play_type,poss_team,home_team_visit_team,score_home_visiting,playdescription,No Play,PENALTY,declined,Offensive Holding,Defensive 12 On-field,Illegal Block Above the Waist,Fair Catch Interference,Running Into the Kicker,Unnecessary Roughness,Illegal Touch Kick,Illegal Use of Hands,False Start,Out of Bounds on Punt,Horse Collar Tackle,Face Mask,Ineligible Downfield Kick,Illegal Substitution,Illegal Formation,Delay of Game,Illegal Blindside Block,Neutral Zone Infraction,Tripping,Defensive Holding,Roughing the Kicker,Unsportsmanlike Conduct,Defensive Offside,Interference with Opportunity to Catch,Illegal Motion,Chop Block,Clipping,Invalid Fair Catch Signal,Illegal Shift,Offensive 12 On-field,Taunting,Offensive Pass Interference,Disqualification,Defensive Pass Interference,REVERSED,out of bounds,Touchback,fair catch,MUFF,downed,BLOCKED,TOUCHDOWN,no gain,FUMBLES,pass incomplete,Returned,returned for,return_yards,risk_factor,Season_Year,GameKey,PlayID,PlayUnique,GL,GLi,GLo,GR,GRi,GRo,P,PC,PDL1,PDL2,PDL3,PDL4,PDL5,PDL6,PDM,PDR1,PDR2,PDR3,PDR4,PDR5,PDR6,PFB,PLG,PLL,PLL1,PLL2,PLL3,PLM,PLM1,PLR,PLR1,PLR2,PLR3,PLS,PLT,PLW,PPL,PPLi,PPLo,PPR,PPRi,PPRo,PR,PRG,PRT,PRW,VL,VLi,VLo,VR,VRi,VRo
0,2017,Reg,588,12/03/2017,13,116,14:10,NYG 28,1,Punt,NYG,OAK-NYG,0 - 0,"(14:10) B.Wing punts 51 yards to OAK 21, Center-Z.DeOssie. J.Richard to OAK 40 for 19 yards (R.Armstrong). FUMBLES (R.Armstrong), recovered by OAK-K.McGill at OAK 40. K.McGill to OAK 40 for no gain (Team).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.0,62.0,2017,588,116,2017-588-116,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1,2017,Reg,508,10/29/2017,8,2398,13:20,BUF 32,3,Punt,BUF,BUF-OAK,14 - 7,"(13:20) C.Schmidt punts 55 yards to OAK 13, Center-R.Ferguson. J.Richard to OAK 17 for 4 yards (M.Milano). FUMBLES (M.Milano), RECOVERED by BUF-M.Tolbert at OAK 14. Penalty on OAK-K.McGill, Offensive Holding, declined. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.0,62.0,2017,508,2398,2017-508-2398,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2,2016,Reg,159,10/23/2016,7,1890,02:19,NYG 37,2,Punt,NYG,LA-NYG,10 - 10,"(2:19) (Punt formation) B.Wing punts 49 yards to LA 14, Center-Z.DeOssie. T.Austin to LA 14 for no gain (R.Lewis). FUMBLES (R.Lewis), and recovers at LA 11. T.Austin to LA 11 for no gain (R.Lewis).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.0,58.0,2016,159,1890,2016-159-1890,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
3,2017,Reg,416,09/17/2017,2,2415,12:20,BLT 49,3,Punt,BLT,BLT-CLV,21 - 7,"(12:20) (Punt formation) S.Koch punts 33 yards to CLV 18, Center-M.Cox, downed by BLT-C.Clark.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,54.0,2017,416,2415,2017-416-2415,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
4,2017,Reg,575,11/30/2017,13,596,04:37,DAL 25,1,Punt,DAL,DAL-WAS,0 - 0,"(4:37) (Punt formation) C.Jones punts 42 yards to WAS 33, Center-L.Ladouceur. J.Crowder to WAS 37 for 4 yards (K.Wilber). FUMBLES (K.Wilber), RECOVERED by DAL-L.Ladouceur at WAS 43.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.0,52.0,2017,575,596,2017-575-596,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
5,2016,Reg,128,10/03/2016,4,355,09:20,MIN 8,1,Punt,MIN,MIN-NYG,0 - 0,"(9:20) (Punt formation) J.Locke punts 53 yards to NYG 39, Center-K.McDermott. D.Harris MUFFS catch, RECOVERED by MIN-M.Sherels at NYG 41. M.Sherels to NYG 41 for no gain (D.Harris).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,52.0,2016,128,355,2016-128-355,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
6,2016,Reg,250,12/04/2016,13,741,02:33,NE 43,1,Punt,NE,NE-LA,7 - 0,"(2:33) R.Allen punts 39 yards to LA 18, Center-J.Cardona, downed by NE-B.King. Penalty on LA-B.Marquez, Illegal Formation, declined.",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,52.0,2016,250,741,2016-250-741,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
7,2016,Reg,274,12/15/2016,15,3609,05:22,SEA 27,4,Punt,SEA,SEA-LA,24 - 3,"(5:22) (Punt formation) J.Ryan up the middle to LA 47 for 26 yards. FUMBLES, recovered by SEA-N.Thorpe at LA 40. SEA-J.Ryan was injured during the play.  Los Angeles challenged the loose ball recovery ruling, and the play was Upheld. The ruling on the field stands. (Timeout #2.)",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.0,50.0,2016,274,3609,2016-274-3609,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0
8,2016,Reg,170,10/23/2016,7,3304,10:50,PIT 28,4,Punt,PIT,PIT-NE,16 - 27,"(10:50) (Punt formation) J.Berry punts 43 yards to NE 29, Center-G.Warren. J.Edelman to NE 41 for 12 yards (S.Johnson). FUMBLES (S.Johnson), RECOVERED by PIT-G.Warren at NE 43. G.Warren to NE 43 for no gain (J.Edelman).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.0,48.0,2016,170,3304,2016-170-3304,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
10,2017,Reg,543,11/12/2017,10,2672,05:49,NYG 37,3,Punt,NYG,SF-NYG,17 - 13,"(5:49) B.Wing punts 40 yards to SF 23, Center-Z.DeOssie. V.Bolden to SF 40 for 17 yards (D.Skinner). FUMBLES (D.Skinner), RECOVERED by NYG-Z.DeOssie at SF 42. Z.DeOssie to SF 42 for no gain (D.Watson). 2 yards of loose ball yardage The Replay Official reviewed the fumble ruling, and the play was REVERSED. B.Wing punts 40 yards to SF 23, Center-Z.DeOssie. V.Bolden to SF 39 for 16 yards (D.Skinner).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0,0.0,44.0,2017,543,2672,2017-543-2672,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
