,season_year,gamekey,playid,gsisid,time,x,y,dis,o,dir,event,number,position,role,generalized_role,punting_returning_team,gsisid_injured,player_activity_derived,turnover_related,primary_impact_type,primary_partner_gsisid,primary_partner_activity_derived,friendly_fire,ball_snap,fair_catch,line_set,penalty_accepted,penalty_flag,play_submit,punt,punt_play,mph,injured_player,primary_partner_player,left_to_right
143,2017,607,978,32114,2017-12-15 02:03:18.900,57.7400016784668,24.75,0.019999999552965164,351.6099853515625,313.7799987792969,fair_catch,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,0.40909090085610555,False,True,False
146,2017,607,978,32114,2017-12-15 02:03:14.600,55.540000915527344,21.090000152587887,0.41999998688697815,307.45001220703125,60.5,punt,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,8.590908841779097,False,True,False
172,2017,607,978,32114,2017-12-15 02:03:12.600,47.81000137329102,18.850000381469727,0.0,38.72999954223633,78.19999694824219,ball_snap,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,0.0,False,True,False
270,2017,607,978,32114,2017-12-15 02:03:12.900,47.84000015258789,18.860000610351566,0.029999999329447743,27.78000068664551,78.02999877929686,,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,0.6136363512841583,False,True,False
271,2017,607,978,32114,2017-12-15 02:03:13.000,48.0,18.899999618530273,0.1599999964237213,22.729999542236328,77.72000122070312,,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,3.2727272068488444,False,True,False
273,2017,607,978,32114,2017-12-15 02:03:12.700,47.81000137329102,18.850000381469727,0.009999999776482582,36.22999954223633,78.33000183105469,,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,0.20454545042805278,False,True,False
274,2017,607,978,32114,2017-12-15 02:03:12.800,47.81999969482422,18.860000610351566,0.009999999776482582,32.41999816894532,78.30999755859375,,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,0.20454545042805278,False,True,False
282,2017,607,978,32114,2017-12-15 02:03:15.300,57.4900016784668,22.770000457763672,0.3400000035762787,304.1400146484375,46.88999938964844,,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,6.954545543151155,False,True,False
283,2017,607,978,32114,2017-12-15 02:03:15.400,57.68999862670898,23.01000022888184,0.3100000023841857,306.0799865722656,44.83000183105469,,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,6.340909153767434,False,True,False
284,2017,607,978,32114,2017-12-15 02:03:15.500,57.88000106811523,23.239999771118164,0.30000001192092896,308.489990234375,42.93999862670898,,"48, 53, 48d","OLB, OLB, OLB",PDR2,Defensive_Lineman,Returning_Team,29793,Blocking,No,Helmet-to-helmet,32114.0,Blocked,No,2017-12-15 02:03:12.600,2017-12-15 02:03:18.900,2017-12-15 02:03:00.300,2017-12-15 02:03:51.800,2017-12-15 02:03:51.800,2017-12-15 02:03:54.100,2017-12-15 02:03:14.600,2017-12-15 02:02:54.600,6.136363893837183,False,True,False
