Season_Year,GameKey,PlayID,GSISID,Player_Activity_Derived,Turnover_Related,Primary_Impact_Type,Primary_Partner_GSISID,Primary_Partner_Activity_Derived,Friendly_Fire,Returned,Multiple Players Around Injury,Returner Change Direction,Players Curled Back to Follow PR,Fair Catch,Muffed,Downed,Injury Type,,
2016,5,3129,31057,Tackling,No,Helmet-to-body,32482,Tackled,No,Y,N,Y,N,N,N,,Direct hit on Punt Returner,Punt returner hit by sideline. Tackler hit head,0     0
2016,21,2587,29343,Blocked,No,Helmet-to-helmet,31059,Blocking,No,N,Y,N,N,N,N,Y,Coverage Player hit before Punt Caught,"Ball downed, coverage player popped while engaged with different defender.",1     0
2016,29,538,31023,Tackling,No,Helmet-to-body,31941,Tackled,No,N,N,N,N,N,Y,N,Direct hit on Punt Returner,"Punt returner popped as soon as catches the ball, defender hurt hed",2     2
2016,45,1212,33121,Tackling,No,Helmet-to-body,28249,Tackled,No,Y,Y,Y,Y,N,N,N,Long Return – Defender hit Punter,"Punt returner breaks down right sideline, tackled from behind player who is tackling injured",3     1
2016,54,1045,32444,Blocked,No,Helmet-to-body,31756,Blocked,Yes,Y,Y,Y,Y,N,N,N,Coverage Player Hit while Tracking Returner,Defender blindsided when tracking returner curling back,4     1
2016,60,905,30786,Blocking,No,Helmet-to-helmet,29815,Blocked,No,Y,N,N,N,N,N,N,Near Line of Scrimmage,Player injured when engaged with defender right after kick,5     0
2016,144,2342,32410,Blocking,No,Helmet-to-body,23259,Blocked,No,Y,?,,,,,,Not Clear,Can’t see on film what happens,6     1
2016,149,3663,28128,Blocking,No,Helmet-to-body,29629,Blocked,No,Y,Y,Y,N,N,N,,Protector Hit,Punt return protector engaged with defender and gets hit by other player coming downfield.,7     2
2016,189,3509,27595,Tackled,No,Helmet-to-helmet,31950,Tackling,No,Y,Y,N,N,N,N,,Direct hit on Punt Returner,Returner dodges first tackler and gets popped by defender a few yards after catch,8     0
2016,218,3468,28987,Blocked,No,Helmet-to-ground,,,,Y,Y,Y,N,N,N,,Fluke/Fall,Coverage player gets caught up running upfield and hits head on ground during fall.,9     0
